"english_term","czech_term","context","forbidden_variants","example","status","source","notes"
"account","účet","Obecný finanční účet v navigaci a přehledech","konto; account","Přidat účet","approved","SURE; CNB-ACCOUNTS","Je-li druh účtu známý, použije se přesnější spojení."
"account","uživatelský účet","Účet osoby pro přihlášení, profil, OAuth nebo SSO","finanční účet; konto","Nastavení uživatelského účtu","approved","SURE; MS-CS","Nutné odlišit od finančního účtu."
"account","bankovní účet","Účet vedený bankou nebo napojený přes poskytovatele","konto; bankovní account","Připojit bankovní účet","approved","SURE; CNB-PAYMENTS","Nepoužívat pro investiční nebo uživatelský účet."
"depository account","peněžní účet","Obecný model Sure pro účty typu checking, savings, HSA, CD a money-market","vkladový účet bez upřesnění; hotovostní účet","Vyberte alespoň jeden peněžní účet","approved","SURE; CNB-ACCOUNTS","Nejde automaticky o český vkladový účet v úzkém bankovním významu. Je-li znám konkrétní podtyp, použije se běžný účet, spořicí účet, termínovaný vklad nebo jiný přesný název."
"default account","výchozí účet","Finanční účet předvolený pro nově zadávané transakce","standardní účet; defaultní účet","Nastavit jako výchozí účet","approved","SURE","Výchozí neznamená hlavní ani jediný účet."
"activity","pohyby","Záložka finančního účtu sdružující transakce, převody, obchody a změny zůstatku","aktivita; činnost; activity","Pohyby na účtu","approved","SURE","Výraz aktivita je v tomto finančním kontextu zbytečný kalk."
"entry","záznam","Obecná položka v přehledu pohybů finančního účtu","vstup; entry","Odstranit záznam","approved","SURE","Je-li znám konkrétní typ, použije se transakce, převod, obchod nebo změna zůstatku."
"transaction","transakce","Pohyb peněz evidovaný v Sure","operace; transakcia","Upravit transakci","approved","SURE; CNB-PAYMENTS","V souvislé větě lze podle významu použít platbu nebo převod, ale název modelu zůstává transakce."
"transfer","převod","Přesun peněz mezi dvěma účty","transfer; přesun","Převod mezi účty","approved","SURE; CNB-PAYMENTS","Při párování dvou transakcí zachovat význam obou stran převodu."
"payment","platba","Převod peněz na účet evidující závazek, například kreditní kartu nebo úvěr","převod; úhrada bez kontextu","Platba na účet Kreditní karta","approved","SURE; CNB-PAYMENTS","V modelu Transfer použít pouze tehdy, když cílový účet představuje závazek."
"inflow transaction","příchozí transakce","Strana převodu, na níž peníze přicházejí na cílový účet","příjmová transakce; kreditní transakce","Příchozí transakce převodu","approved","SURE; CNB-PAYMENTS","Nezaměňovat s kategorií příjmu; jde o směr pohybu v rámci převodu."
"outflow transaction","odchozí transakce","Strana převodu, na níž peníze odcházejí ze zdrojového účtu","výdajová transakce; debetní transakce","Odchozí transakce převodu","approved","SURE; CNB-PAYMENTS","Nezaměňovat s kategorií výdaje; jde o směr pohybu v rámci převodu."
"source account","zdrojový účet","Účet, z něhož peníze při převodu odcházejí","výchozí účet; účet od","Zdrojový účet","approved","SURE; CNB-PAYMENTS","Výchozí účet je v aplikaci jiný pojem."
"destination account","cílový účet","Účet, na který peníze při převodu přicházejí","destinační účet; účet do","Cílový účet","approved","SURE; CNB-PAYMENTS","Použít také u převodu mezi různými měnami."
"balance","zůstatek","Aktuální peněžní hodnota účtu","bilance; balance","Aktuální zůstatek","approved","SURE; CNB-PAYMENTS","Výraz bilance je vyhrazen jiným odborným kontextům."
"valuation","ocenění","Ručně nebo automaticky zaznamenaná hodnota majetku k určitému datu","valuace; ohodnocení; valuation","Přidat ocenění","approved","SURE","Nezaměňovat s aktuálním zůstatkem; ocenění je historický záznam hodnoty."
"market value","tržní hodnota","Odhad ceny, za kterou by bylo možné majetek prodat na trhu","tržní cena; market value","Odhadovaná tržní hodnota nemovitosti","approved","SURE; CNB-ACCOUNTS","Je-li údaj pouze odhadem, musí to okolní text výslovně uvést."
"purchase price","pořizovací cena","Cena zaplacená při pořízení majetku","nákupní cena; kupní cena; purchase price","Pořizovací cena vozidla","approved","SURE; CNB-ACCOUNTS","Kupní cena je vhodná ve smluvním kontextu; v souhrnném rozhraní se používá pořizovací cena."
"balance sheet","rozvaha","Výkaz nebo přehled aktiv a závazků","zůstatek; bilanční list","Přehled rozvahy","approved","SURE; CNB-ACCOUNTS; CNB-BALANCE","Použít jen tam, kde funkce skutečně představuje rozvahu."
"available balance","disponibilní zůstatek","Částka, kterou lze podle banky právě použít","dostupná bilance; volný zůstatek","Disponibilní zůstatek: %{amount}","approved","SURE; CNB-PAYMENTS","Před překladem konkrétního klíče ověřit, že nejde jen o dostupnost historického údaje."
